10;50;4676700;254;2229600;254;%0,00
100;2000;47800400;4886;2717400;5070;%3,63
1000;20000;832983900;33422;16975100;47389;%29,47
10000;100000;16691970200;266141;636313800;362071;%26,49
10000;100000;72161824000;266925;643017500;362431;%26,35
10000;100000;22988690900;263591;632949200;359509;%26,68
10000;100000;37059400100;266099;640577100;365043;%27,10
10000;100000;47481518400;268183;624671200;363052;%26,13
10000;100000;2745234200;50767;720345900;362148;%85,98
10000;100000;6489775400;230993;640669500;364086;%36,56
10000;100000;22655928400;280299;647232500;362720;%22,72
